ean;descripcion;marca;n_sucursales;n_cadenas;precio_mediano;coicop_sugerido;rubro_sugerido;coicop_subclase
7791293050355;ACO HIDRATACION;DOVE;684;10;9687.0;;;
7791813434368;GASEOSA 7UP FREE;7UP;684;10;2100.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;01.2.2
7500435019880;SHAMPOO MANZANA FRES;HEAD & SHOULDERS;683;10;12769.0;01.1.6;Frutas;
7790895012440;GASEO COLA LIGHT;COCA;682;10;4900.0;;;
7500435159210;SHAMPOO FUERZA RAIZ;HEAD & SHOULDERS;675;10;12900.0;;;
7791293049502;DESODORANTE AEROSOL REXONA X 150 CC;REXONA;659;10;4889.0;;;
7790010002660;TOALL FEM ESPECIAL;SIEMP;658;10;3882.99;;;
7794440994205;GUANTES PLISS SATI M;MAPA;658;10;5184.99;;;
7793253004699;LIMPIADOR DESINFECTA;AYUDIN;654;10;3000.0;;;
7790895641220;AGUA S/GAS UVA;AQUAR;643;10;3000.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;
7622210745620;CHOCOLATE C/ALMENDRA;MILKA;625;10;5140.0;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;01.1.6
7790895642081;GASEO COLA;COCA;605;10;1100.0;;;
4005900130785;ROLL ON PROTECT FEME;NIVEA;601;10;3109.0;;;
7794440994212;GUANTE PLISS SATIN G;MAPA;601;10;5095.0;;;
7500435202671;SHAMPOO ARGAN;HEAD&;596;10;7599.0;;;
7790010002776;TOALL FEM TANGA;SIEMP;590;10;3150.0;;;
7790010003162;SHAMPOO ORIGINAL;JOHNS;586;10;5495.0;;;
7891000248799;TABLETA DE CHOCOLATE RELLENA KIT KAT X 41.5 GR;KIT KAT;584;10;2650.0;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;
7791293045931;ACO CERAMIDAS;SEDAL;583;10;5855.0;;;
7509552902358;ACO HIALURON HIDRATA;ELVIV;582;10;7269.0;;;
7891010254780;TAMPONES SUPER;OB;581;10;4130.0;;;
7790010002820;PROTEC FEM  DIARIOS;CAREF;580;10;3385.0;;;
7790010003261;ACONDICIONADOR ORIGI;JOHNS;580;10;5495.0;;;
7790010002615;TOALLA FEM ADAPT NYD;SIEMP;579;10;4040.0;;;
7509552876482;ACO HIALURONICO PURE;ELVIV;578;10;7269.0;;;
7790064002029;POMPONES DE ALGODON;ESTRE;577;10;3430.0;;;
7509552791280;ACO OLEO NUTRITIVO;ELVIV;575;10;7269.0;;;
7500435201292;SUAVI CONCENT INTESO;DOWNY;569;10;9690.0;;;
7509552922226;ACO O.REPA RECAR NUT;FRUCT;567;10;5490.0;;;
7790770602292;TOALL FEM BUEN NOCHE;NOSOT;567;10;6460.0;;;
7798290580113;JUGOS MULTIFRUTA;TUTTI;565;10;540.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;
7791293049571;DEO AEROS FUTB WOMEN;REXON;562;10;4879.0;;;
7791293045955;ACOND LISO PERFECTO;SEDAL;559;10;5855.0;;;
7500435228770;PAÑAL BABYDRY XXG;PAMPE;554;10;35500.0;;;
7891010251024;TOALLITAS HUMEDAS;JOHNS;522;10;7030.0;;;
7622202328947;CHOCOLATE CON LECHE;MILKA;519;10;5140.0;01.1.4;Leche, productos lácteos y huevos;
7798290580083;JUGOS MANZANA BRICK;TUTTI;511;10;540.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;
7790580199913;GOMITAS OSITOS MOGUL X 30 GRS;MOGUL;494;10;939.0;;;
7622300457303;ALFAJOR CHOC BCO TRIPLE C MOUSSE MILKA X 55 G;MILKA;484;10;2040.0;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;01.1.8
7790895648441;JUGO NATURAL NARANJA TENTACION CEPITA PET X 995 CC;CEPITA;471;10;3200.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;01.2.2
7790580119126;BOMBONES SURTIDO BON O BON CAJA X255G;BON O BON;465;10;12585.0;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;01.1.8
